sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780392605.364548206,0.124025106,-532.025488290,161.996081659,-0.192356285,-0.004563890,0.000474744,0.479524563,0.877516461,-0.007554649,0.005210209,1.000217507,-0.010167900,-0.000156099,-0.093862152,0.029500000,-0.012250000,0.005000000,-0.105000000,-0.040000000,9.965000000,0.937500000,-4.000000000,-0.625000000
1780392605.464549303,0.224026203,-532.025667386,161.996710234,-0.198072804,-0.004428572,0.000997094,0.479525095,0.877516425,-0.006816200,0.005997192,1.000217716,0.001924048,0.015293025,-0.071302990,0.022250000,0.014500000,0.006750000,0.115000000,-0.065000000,9.990000000,1.250000000,0.333333333,1.666666667
1780392605.564670563,0.324147463,-532.025652766,161.996783147,-0.198349885,-0.004417355,0.001023065,0.479525119,0.877516439,-0.006771608,0.006032016,1.000217762,0.000139593,0.000696166,-0.002645553,0.032000000,-0.008500000,0.015750000,0.150000000,-0.045000000,10.015000000,0.125000000,-2.125000000,3.500000000
1780392605.664634466,0.424111366,-532.022722227,162.003997180,-0.208254678,-0.003454404,0.002312519,0.479524492,0.877518650,-0.003844903,0.007371566,1.000220793,0.046304559,0.099353508,-0.072562072,0.024500000,0.018250000,0.003000000,0.190000000,-0.010000000,10.040000000,0.208333333,0.375000000,-0.583333333
1780392605.764545918,0.524022818,-532.020006800,162.009465196,-0.211026555,-0.002968986,0.003014278,0.479522941,0.877519144,-0.002319932,0.008137656,1.000222328,0.038500913,0.075126350,-0.030354175,0.025000000,0.007250000,0.007250000,0.165000000,0.005000000,10.005000000,-0.604166667,-1.041666667,1.145833333
1780392605.864497662,0.623974562,-532.015370570,162.018034466,-0.213140099,-0.002590336,0.003981241,0.479520255,0.877517957,-0.000727995,0.009471600,1.000224744,0.053164522,0.095571489,-0.015742872,0.013500000,0.009000000,0.010000000,0.120000000,0.085000000,9.990000000,-1.250000000,-2.343750000,1.062500000
1780392605.964626789,0.724103689,-532.010701739,162.026227619,-0.213806042,-0.002464801,0.004814348,0.479517338,0.877515737,0.000291341,0.010813373,1.000226777,0.062735744,0.108944046,-0.004173614,0.017750000,0.026750000,0.008500000,0.065000000,0.045000000,10.015000000,-0.968750000,-0.437500000,0.156250000
1780392606.064489126,0.823966026,-532.006679263,162.033156605,-0.213716603,-0.002401705,0.005473716,0.479514337,0.877513687,0.001034467,0.011910107,1.000228061,0.018375629,0.031545548,0.001360654,0.044750000,0.022250000,0.012750000,0.080000000,0.030000000,10.005000000,2.531250000,0.968750000,1.062500000
1780392606.164676905,0.924153805,-532.000666521,162.043452877,-0.212780880,-0.002257898,0.006386758,0.479508780,0.877510935,0.002162548,0.013374663,1.000229249,0.079107522,0.135319707,0.016342444,0.013500000,0.034500000,0.011750000,-0.015000000,0.035000000,9.995000000,-1.718750000,0.937500000,1.593750000
1780392606.264527798,1.024004698,-531.992134444,162.058003239,-0.210198554,-0.001914322,0.007511308,0.479499259,0.877508049,0.003844111,0.015018863,1.000229711,0.090382759,0.153665165,0.032577497,0.015250000,0.014250000,0.004500000,-0.055000000,0.090000000,10.065000000,-2.500000000,-0.343750000,1.031250000
