sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780394733.413573980,0.452438116,-532.053885709,161.993611387,-0.059164529,-0.000874666,0.006505213,0.479477524,0.877529613,0.004703486,0.012256107,1.000170841,0.000000000,0.000000000,0.000000000,-0.018000000,-0.000750000,0.005750000,-0.050000000,0.105000000,9.650000000,0.031250000,0.281250000,0.312500000
1780394733.513535738,0.552399874,-532.053174331,161.994481148,-0.055126674,-0.001065465,0.005568133,0.479486086,0.877531170,0.003469937,0.010794382,1.000174279,0.013002152,0.018024538,0.037798578,-0.011250000,-0.006000000,-0.003000000,0.215000000,0.025000000,9.640000000,0.562500000,0.906250000,-0.625000000
1780394733.613543272,0.652407408,-532.051021692,161.997754426,-0.051900235,-0.001036343,0.004508088,0.479492914,0.877533560,0.002504442,0.008905953,1.000176395,0.027112347,0.042390085,0.028324533,-0.008500000,-0.026500000,-0.006000000,0.195000000,0.090000000,9.695000000,0.250000000,-3.531250000,1.250000000
1780394733.713690519,0.752554655,-532.048335187,162.002004798,-0.050074542,-0.000897332,0.003718248,0.479496402,0.877535509,0.001990947,0.007386390,1.000176848,0.037564022,0.059518564,0.019570240,0.006000000,-0.005000000,-0.013000000,0.240000000,0.075000000,9.630000000,1.281250000,0.843750000,-1.031250000
1780394733.813624144,0.852488279,-532.043979576,162.008832361,-0.048828313,-0.000826492,0.002873743,0.479499338,0.877537146,0.001305383,0.005836271,1.000176887,0.047935822,0.074493831,0.008093659,-0.016500000,-0.005500000,0.000750000,0.320000000,0.125000000,9.610000000,-2.718750000,0.656250000,-1.531250000
1780394733.913635015,0.952499151,-532.041799274,162.012195045,-0.048634352,-0.000873936,0.002554015,0.479500431,0.877537492,0.000915493,0.005320617,1.000177100,0.054232012,0.083447242,0.003504893,-0.015750000,-0.006750000,0.015750000,0.280000000,0.105000000,9.595000000,-0.093750000,-1.593750000,2.093750000
1780394734.013519287,1.052383423,-532.040629815,162.013986998,-0.048612582,-0.000916719,0.002401249,0.479500971,0.877537585,0.000693901,0.005093530,1.000177291,0.009857037,0.015103859,0.000183499,-0.013250000,-0.002250000,-0.001000000,0.260000000,-0.000000000,9.625000000,-0.531250000,0.031250000,-0.062500000
1780394734.113523006,1.152387142,-532.023186726,162.040693200,-0.052170061,-0.001812174,0.001018794,0.479506030,0.877536122,-0.002203475,0.003525961,1.000181920,0.082089287,0.127300482,-0.026608149,0.001000000,-0.010750000,0.009500000,0.225000000,0.025000000,9.640000000,1.000000000,-0.875000000,1.375000000
1780394734.213523865,1.252388000,-532.015127037,162.053291435,-0.055070746,-0.001997421,0.000670135,0.479506811,0.877535628,-0.002862966,0.003091694,1.000183224,0.093175199,0.146186556,-0.035163426,-0.011500000,-0.010000000,-0.006000000,0.235000000,0.025000000,9.655000000,0.104166667,0.166666667,-0.791666667
1780394734.313471317,1.352335453,-532.007083665,162.065932223,-0.058239337,-0.002080177,0.000348299,0.479507324,0.877535343,-0.003316851,0.002606212,1.000184501,0.108430512,0.170391668,-0.043530732,-0.004000000,-0.000250000,0.010750000,0.230000000,0.050000000,9.705000000,0.625000000,0.187500000,2.031250000
1780394734.413707733,1.452571869,-531.996052742,162.083207078,-0.062778397,-0.002196415,-0.000131130,0.479508295,0.877534588,-0.003980633,0.001876256,1.000187518,0.119280861,0.186290834,-0.049759722,-0.008500000,-0.009500000,-0.003500000,0.240000000,0.050000000,9.680000000,-0.250000000,-1.125000000,0.468750000
1780394734.513588190,1.552452326,-531.983987651,162.101994903,-0.067930545,-0.002398508,-0.000669633,0.479509857,0.877532960,-0.004851753,0.001124966,1.000192825,0.127295529,0.198042411,-0.055288589,-0.020750000,0.009750000,-0.014500000,0.210000000,-0.000000000,9.700000000,-2.375000000,1.343750000,-2.031250000
1780394734.613474607,1.652338743,-531.973154186,162.118877552,-0.072765090,-0.002590738,-0.001068152,0.479511463,0.877531141,-0.005571320,0.000609903,1.000198418,0.050738912,0.079243505,-0.023104675,0.002000000,-0.017250000,-0.000750000,0.240000000,-0.015000000,9.665000000,0.479166667,-2.541666667,0.458333333
1780394734.713476658,1.752340794,-531.959550869,162.140221724,-0.079133590,-0.002762052,-0.001354755,0.479513609,0.877529051,-0.006146849,0.000271209,1.000205055,0.135264103,0.212965500,-0.064486652,0.012000000,0.001750000,-0.009000000,0.270000000,-0.045000000,9.695000000,1.166666667,1.000000000,-0.312500000
1780394734.813502789,1.852366924,-531.945242262,162.162834837,-0.086075230,-0.002871491,-0.001401306,0.479516213,0.877527203,-0.006383565,0.000294485,1.000211290,0.140950282,0.223120714,-0.068873241,-0.003250000,0.005750000,0.006750000,0.190000000,0.015000000,9.695000000,-0.270833333,0.250000000,-0.208333333
1780394734.913540125,1.952404261,-531.930217162,162.186615819,-0.093399459,-0.003012160,-0.001281141,0.479519626,0.877525050,-0.006515203,0.000640313,1.000218200,0.151795412,0.240069704,-0.073577390,-0.009250000,0.009750000,0.007000000,0.205000000,-0.030000000,9.720000000,-1.208333333,0.500000000,0.854166667
1780394735.013540745,2.052404881,-531.914461281,162.211489416,-0.100897138,-0.003243264,-0.001093533,0.479523993,0.877522094,-0.006740878,0.001191247,1.000226769,0.160933602,0.253813922,-0.075471877,0.005000000,0.012750000,-0.007500000,0.205000000,-0.035000000,9.725000000,0.562500000,1.291666667,-0.187500000
