sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780379799.821526527,0.523518085,-546.978540823,167.204008703,-0.072516209,-0.001815000,0.006896234,0.482683755,0.875765688,0.003478711,0.013831553,1.007485085,0.002847624,0.003866353,0.009805067,-0.020500000,0.005250000,9.492750000,0.090000000,-0.010000000,9.740000000,-0.312500000,-0.500000000,2374.812500056
1780379799.921506882,0.623498440,-546.978233010,167.204441646,-0.071587384,-0.001827172,0.006721203,0.482685344,0.875766148,0.003288409,0.013536717,1.007485623,0.015930364,0.022406292,0.048069853,-0.004750000,-0.014750000,9.507000000,0.135000000,-0.015000000,9.690000000,1.656250000,-0.218750000,2375.625000056
1780379800.021511316,0.723502874,-546.977869419,167.204972790,-0.070687367,-0.001827152,0.006543415,0.482686846,0.875766666,0.003116800,0.013225280,1.007486107,0.003408086,0.004978620,0.008436219,0.005500000,-0.008250000,9.486000000,0.190000000,-0.015000000,9.690000000,1.437500000,1.656250000,2376.218750056
1780379800.121515512,0.823507071,-546.970339147,167.216810063,-0.062889582,-0.001440364,0.004700965,0.482697714,0.875773226,0.002015520,0.009624627,1.007487900,0.048597108,0.076405755,0.027268169,0.002250000,-0.019000000,9.495500000,0.170000000,-0.035000000,9.705000000,-0.250000000,0.562500000,0.312500000
1780379800.221466303,0.923457861,-546.965999121,167.223551145,-0.061162298,-0.001470208,0.004126991,0.482700508,0.875774529,0.001409112,0.008648075,1.007487927,0.056626472,0.087422334,0.017911081,-0.008250000,-0.004250000,9.499250000,0.160000000,0.025000000,9.695000000,0.583333333,0.375000000,0.687500000
1780379800.321432829,1.023424387,-546.960830929,167.231479836,-0.060137625,-0.001677949,0.003608088,0.482703245,0.875774939,0.000544277,0.007939733,1.007488395,0.070369002,0.107789638,0.009665299,-0.019500000,0.000500000,-9.497750000,0.190000000,0.020000000,9.660000000,-0.250000000,-0.250000000,-2374.343750056
1780379800.421475887,1.123467445,-546.953302811,167.243063554,-0.059881742,-0.002025202,0.003057421,0.482706161,0.875774693,-0.000595585,0.007310445,1.007489403,0.081022861,0.125335570,-0.001917816,-0.004000000,0.017000000,-9.508250000,0.185000000,-0.015000000,9.660000000,-0.593750000,2.187500000,-2376.937500056
1780379800.521472692,1.223464251,-546.946498615,167.253683603,-0.060439734,-0.002221110,0.002692236,0.482707749,0.875774542,-0.001291288,0.006859932,1.007490077,0.053130637,0.083366745,-0.005942253,0.011000000,0.001500000,9.491250000,0.130000000,-0.090000000,9.710000000,2.083333333,0.145833333,1583.020833251
1780379800.621563196,1.323554754,-546.937447010,167.267986431,-0.061850276,-0.002298380,0.002280646,0.482708937,0.875774856,-0.001823987,0.006213603,1.007490618,0.093190092,0.147693051,-0.016781429,-0.013250000,-0.002500000,-9.513000000,0.150000000,-0.020000000,9.750000000,-0.156250000,1.156250000,-2376.812500056
1780379800.721504211,1.423495770,-546.927844501,167.283196932,-0.063812931,-0.002299130,0.001822942,0.482709983,0.875775350,-0.002267173,0.005412628,1.007491504,0.111052479,0.175674923,-0.024231555,0.011500000,-0.007000000,9.502750000,0.145000000,-0.040000000,9.770000000,0.687500000,2.781250000,2374.062500056
