sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780381479.587417126,1.123182297,-533.139042826,196.906680184,-0.099618504,-0.001884198,0.006512884,0.524780041,0.851210867,0.003628280,0.013065626,1.104965430,0.050824410,0.099796236,0.036387261,-0.022500000,0.002750000,-9.484000000,0.145000000,0.100000000,9.770000000,-1.218750000,1.000000000,-2372.343750056
1780381479.687343836,1.223109007,-533.133102687,196.918240111,-0.096263619,-0.002027084,0.006087254,0.524780836,0.851213199,0.002938220,0.012490976,1.104958984,0.042641986,0.082896813,0.020193909,-0.007500000,-0.007250000,-9.496250000,0.145000000,0.060000000,9.700000000,-1.093750000,-0.343750000,-2372.781250056
1780381479.787366152,1.323131323,-533.128085401,196.928038291,-0.094252639,-0.002161142,0.005818727,0.524780960,0.851214671,0.002428105,0.012174524,1.104954081,0.067637423,0.132609355,0.024367087,-0.003750000,-0.017750000,-9.494250000,0.110000000,0.025000000,9.745000000,1.593750000,-1.375000000,-2373.531250056
1780381479.887354851,1.423120022,-533.122242194,196.939587060,-0.092498990,-0.002210911,0.005568027,0.524780418,0.851216554,0.002080201,0.011799953,1.104948673,0.075280658,0.149469843,0.020264883,0.005500000,0.004750000,-9.486250000,0.065000000,-0.015000000,9.720000000,0.593750000,1.312500000,-2373.281250056
1780381479.987372398,1.523137569,-533.115830054,196.952373831,-0.091041979,-0.002147861,0.005302269,0.524779464,0.851219001,0.001908567,0.011281329,1.104942973,0.086369143,0.172495128,0.017751086,-0.008500000,-0.000750000,-9.485750000,0.040000000,0.010000000,9.795000000,0.312500000,0.500000000,-2373.906250056
1780381480.087293148,1.623058319,-533.108826515,196.966336103,-0.089818254,-0.002035363,0.004956222,0.524778693,0.851221837,0.001736847,0.010574116,1.104937101,0.045475359,0.090491905,0.007188456,0.005250000,-0.003750000,-9.485250000,0.050000000,0.070000000,9.770000000,1.093750000,0.656250000,-2372.437500056
1780381480.187407970,1.723173141,-533.101613125,196.980618260,-0.088862242,-0.001956557,0.004519544,0.524778522,0.851224558,0.001412648,0.009747966,1.104931657,0.020047387,0.039568949,0.002285373,0.012250000,-0.009250000,9.498250000,0.055000000,0.030000000,9.750000000,1.666666667,-0.208333333,0.666666667
1780381480.287389278,1.823154449,-533.095132203,196.993368609,-0.088243214,-0.001934853,0.004083493,0.524778755,0.851226667,0.000991904,0.008982816,1.104927410,0.102094669,0.200585749,0.008540687,-0.022750000,-0.005500000,9.504000000,0.050000000,0.010000000,9.745000000,-2.125000000,0.968750000,2373.968749516
1780381480.387331724,1.923096895,-533.088749756,197.005894408,-0.087855607,-0.001940844,0.003652706,0.524779036,0.851228438,0.000529542,0.008255697,1.104923759,0.021133589,0.041461761,0.000940207,-0.014500000,-0.007250000,9.504500000,0.115000000,-0.020000000,9.725000000,-2.375000000,1.656250000,2373.593749516
1780381480.487393618,2.023158789,-533.080293732,197.022523816,-0.087683558,-0.001949107,0.003137519,0.524779088,0.851230442,-0.000025270,0.007387270,1.104919465,0.021127276,0.041626744,-0.000024303,-0.007500000,-0.016750000,-9.487000000,0.070000000,-0.050000000,9.705000000,0.104166667,-1.875000000,-1581.395833491
