sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780380093.977808714,0.222998142,-535.605421492,185.867409659,-0.130543361,-0.003020743,0.007638900,0.575386572,0.817840336,0.003850170,0.015971669,1.226231662,-0.001872659,-0.000864072,0.036745544,0.004500000,-0.005750000,-9.490500000,-0.190000000,0.055000000,9.855000000,-1.000000000,-1.187500000,-2372.437500056
1780380094.077723980,0.322913408,-535.605399949,185.867758951,-0.125497763,-0.003067490,0.007915864,0.575383243,0.817839870,0.004092446,0.016478529,1.226229724,0.004310723,0.012252490,0.041462339,-0.016250000,-0.010250000,-9.488750000,0.075000000,0.025000000,9.830000000,0.125000000,0.062500000,-2371.750000056
1780380094.177884340,0.423073769,-535.604748386,185.869695393,-0.122199921,-0.003011025,0.007903189,0.575382761,0.817840542,0.004170213,0.016392815,1.226228625,1.869620778,5.648494402,7.363452145,0.010000000,-0.004750000,9.506500000,0.075000000,-0.030000000,9.825000000,-0.968750000,-0.343750000,2374.781250056
1780380094.277727842,0.522917271,-535.603469955,185.873605210,-0.118352164,-0.002775690,0.007878976,0.575381442,0.817842536,0.004527279,0.016082378,1.226226397,0.017823218,0.054549848,0.046516042,0.009000000,0.001000000,9.498750000,0.070000000,-0.015000000,9.840000000,0.250000000,1.062500000,0.479166667
1780380094.377722979,0.622912407,-535.602193238,185.877461947,-0.115515298,-0.002574158,0.007875095,0.575379988,0.817844256,0.004852453,0.015844104,1.226224075,0.023589097,0.070691117,0.048719115,0.012000000,-0.004250000,9.509000000,0.075000000,-0.015000000,9.800000000,2.281250000,-0.375000000,2375.718750056
1780380094.477730513,0.722919941,-535.600595409,185.882148133,-0.112648529,-0.002423938,0.007874866,0.575378361,0.817845861,0.005097888,0.015670858,1.226221069,0.002859935,0.008245004,0.004672129,0.016250000,0.005500000,-9.495500000,0.125000000,0.125000000,9.845000000,1.500000000,1.145833333,0.333333333
1780380094.577709198,0.822898626,-535.597346421,185.891276209,-0.108118563,-0.002401747,0.007857373,0.575375975,0.817847774,0.005114006,0.015616720,1.226214952,0.027525018,0.076002905,0.034096036,-0.003250000,0.003000000,9.495250000,0.120000000,0.050000000,9.810000000,-1.406250000,1.687500000,2375.250000056
1780380094.677739382,0.922928810,-535.594723497,185.898441253,-0.105216602,-0.002532023,0.007833801,0.575374585,0.817848585,0.004873740,0.015728097,1.226210140,0.032289459,0.087838802,0.033659208,-0.021250000,0.006750000,-9.506000000,0.090000000,0.095000000,9.755000000,-2.625000000,2.000000000,-2374.406250056
1780380094.777684689,1.022874117,-535.591965529,185.905936661,-0.102620172,-0.002704033,0.007814618,0.575373228,0.817849172,0.004570254,0.015894683,1.226205239,0.048601829,0.132194189,0.043576947,-0.010500000,-0.004250000,-9.500000000,0.105000000,0.030000000,9.800000000,0.750000000,-2.437500000,-2373.875000056
1780380094.877893448,1.123082876,-535.588102089,185.916513718,-0.099512622,-0.002898850,0.007805268,0.575371165,0.817850045,0.004240766,0.016103603,1.226198684,0.040954996,0.112702316,0.030909088,-0.016750000,0.010000000,-9.513500000,0.045000000,0.035000000,9.795000000,-1.156250000,1.562500000,-2375.656250056
1780380094.977718592,1.222908020,-535.584551216,185.926355021,-0.097032844,-0.002988695,0.007800637,0.575369108,0.817851213,0.004088424,0.016199435,1.226192943,0.057068429,0.158737149,0.038267283,-0.012500000,-0.009250000,-9.492750000,0.035000000,0.050000000,9.815000000,-1.718750000,-2.781250000,-2372.937500056
1780380095.077698946,1.322888374,-535.580974075,185.936341544,-0.094795298,-0.003004747,0.007772315,0.575367145,0.817852806,0.004029527,0.016171590,1.226187366,0.062893822,0.175769655,0.038041931,0.002750000,-0.003000000,9.502250000,-0.025000000,0.000000000,9.810000000,0.781250000,-0.218750000,2375.562499516
1780380095.177729368,1.422918797,-535.576345814,185.949261610,-0.092197810,-0.002972643,0.007662708,0.575365218,0.817855313,0.003955842,0.015955360,1.226180305,0.061217424,0.170530087,0.032836220,0.004750000,-0.002500000,9.489750000,-0.010000000,0.035000000,9.795000000,1.968750000,0.750000000,2374.624999516
1780380095.277786970,1.522976398,-535.571906807,185.961562315,-0.089971588,-0.002943403,0.007464618,0.575364281,0.817857910,0.003775646,0.015597684,1.226173672,0.054550237,0.150643960,0.026250234,0.005500000,-0.010000000,-9.498000000,0.020000000,0.110000000,9.780000000,1.270833333,0.354166667,-0.833333333
1780380095.377779722,1.622969151,-535.565618831,185.978805017,-0.087221876,-0.002952399,0.007057713,0.575364248,0.817861513,0.003292577,0.014942430,1.226164625,0.075897211,0.207314906,0.031083248,-0.002500000,-0.003500000,-9.496500000,-0.005000000,0.045000000,9.770000000,1.000000000,0.000000000,-2372.781250056
1780380095.477766991,1.722956419,-535.560833369,185.991844309,-0.085436949,-0.002991003,0.006697906,0.575364729,0.817864060,0.002815305,0.014398286,1.226158150,0.014483273,0.039450353,0.005058920,-0.016000000,-0.012250000,-9.485750000,0.010000000,0.035000000,9.755000000,-1.125000000,2.468750000,-2375.468750056
1780380095.577731133,1.822920561,-535.553095731,186.012944686,-0.083106120,-0.003055929,0.006131341,0.575365381,0.817867805,0.002057021,0.013546217,1.226148570,0.053430683,0.146053084,0.014069045,-0.002750000,-0.005500000,9.501000000,0.015000000,-0.010000000,9.760000000,0.625000000,0.291666667,1583.791666584
1780380095.677754879,1.922944307,-535.547114119,186.029359707,-0.081759925,-0.003077819,0.005760141,0.575365320,0.817870464,0.001593991,0.012964201,1.226141809,0.088844004,0.244372891,0.017996403,-0.022000000,0.003750000,9.513000000,0.045000000,-0.035000000,9.735000000,-1.208333333,0.041666667,1585.999999917
1780380095.777721167,2.022910595,-535.541665544,186.044391625,-0.080855932,-0.003078382,0.005481326,0.575364839,0.817872717,0.001272175,0.012508765,1.226136055,0.095451143,0.263709799,0.014145177,-0.006000000,-0.014000000,-9.488000000,0.020000000,-0.030000000,9.720000000,-0.687500000,-0.125000000,-2372.187500056
