sim_time_sec,elapsed_time_sec,global_x,global_y,global_z,global_qx,global_qy,global_qz,global_qw,roll,pitch,yaw,global_vx,global_vy,global_vz,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,imu_angular_acceleration_x,imu_angular_acceleration_y,imu_angular_acceleration_z
1780364196.678016186,0.124636412,-532.029918339,161.996062306,-0.214380777,-0.002871895,0.005294794,0.479502115,0.877520051,0.000037441,0.012047027,1.000194572,-0.008349905,0.000053007,-0.005429345,0.014250000,0.013000000,-0.004750000,-0.090000000,-0.045000000,9.915000000,-0.854166667,-1.062500000,0.375000000
1780364196.778007269,0.224627495,-532.030083616,161.996635823,-0.214164656,-0.002688370,0.005922710,0.479496922,0.877519456,0.000961730,0.012973081,1.000192040,0.001163540,0.006728946,0.003638225,0.029000000,0.018500000,-0.004500000,0.150000000,-0.070000000,9.920000000,1.437500000,1.562500000,0.020833333
1780364196.878072739,0.324692965,-532.029317785,161.998774336,-0.212859143,-0.002340318,0.006499943,0.479490699,0.877519768,0.002126173,0.013652402,1.000189096,0.013814579,0.033931109,0.021393367,0.019750000,0.013750000,0.001750000,0.150000000,-0.060000000,9.905000000,-0.468750000,0.062500000,1.281250000
1780364196.977992296,0.424612522,-532.027102314,162.003548414,-0.209722204,-0.001704944,0.007233514,0.479480702,0.877520955,0.003944828,0.014330585,1.000184164,0.027759428,0.056726876,0.037945678,0.026250000,-0.006250000,-0.005000000,0.170000000,0.035000000,9.905000000,-0.583333333,-0.187500000,0.354166667
1780364197.078082085,0.524702311,-532.023491317,162.010434703,-0.205031219,-0.001115424,0.008012177,0.479468725,0.877521682,0.005726246,0.015131917,1.000177503,0.042113619,0.077407834,0.053117890,0.011500000,0.016500000,-0.001750000,0.140000000,0.045000000,9.930000000,-3.312500000,-1.000000000,0.125000000
1780364197.177926779,0.624547005,-532.019588628,162.017330415,-0.200296026,-0.000844639,0.008647365,0.479458551,0.877521514,0.006810651,0.015987118,1.000170925,0.055158283,0.095608291,0.065533135,0.003250000,0.017000000,0.004000000,0.145000000,0.155000000,9.865000000,-1.625000000,-0.156250000,0.531250000
1780364197.277929068,0.724549294,-532.019588628,162.017330415,-0.200296026,-0.000844639,0.008647365,0.479458551,0.877521514,0.006810651,0.015987118,1.000170925,0.055158283,0.095608291,0.065533135,0.011500000,0.013500000,-0.009000000,0.090000000,0.030000000,9.865000000,1.906250000,-0.718750000,-0.093750000
1780364197.378070831,0.824691057,-532.018474854,162.019239871,-0.198991020,-0.000807706,0.008806486,0.479455916,0.877521406,0.007028069,0.016230992,1.000168999,0.009531059,0.016340064,0.011167523,0.020500000,0.008750000,0.002250000,0.060000000,0.115000000,9.875000000,-0.656250000,0.093750000,0.343750000
1780364197.477955341,0.924575567,-531.999126517,162.051442779,-0.177795079,-0.000536828,0.010886678,0.479416721,0.877519686,0.009498329,0.019622536,1.000138009,0.087382868,0.144614511,0.092844040,0.018250000,0.011500000,0.007250000,0.015000000,0.035000000,9.860000000,-0.843750000,-0.562500000,0.093750000
1780364197.578010082,1.024630308,-531.992061959,162.063107083,-0.170342833,-0.000316409,0.011375803,0.479404493,0.877520269,0.010354223,0.020269759,1.000127735,0.099540821,0.164040352,0.104570766,0.011500000,0.013750000,0.006500000,-0.040000000,0.400000000,9.870000000,0.541666667,0.125000000,-1.270833333
1780364197.678012133,1.124632359,-531.982169330,162.079248605,-0.160091916,-0.000031986,0.011782282,0.479390217,0.877522761,0.011243133,0.020710589,1.000111775,0.111591124,0.181104203,0.114613293,-0.004750000,0.018500000,-0.003500000,-0.015000000,0.120000000,9.845000000,-0.479166667,2.625000000,-0.895833333
